kept_variables,coefficient
(Intercept),-39285.34372034801
`normalized-losses`,8.012318079077067
aspirationturbo,970.2727157659076
width,460.6396920179651
`curb-weight`,4.806743444301593
`engine-size`,54.91247736664934
horsepower,12.17256805145923
